layer,hash_hex,ark,title,page_index,page_count,char_offset,text_snippet,word_count,language_hint,themes,sentiment,keywords,iiif_manifest,ocr_url
1,43bdd61eb54f6db9c23e911cbd48c70192a4cb7fb8e31a02794f00ef6b82f4ca,ark:/12148/btv1b11000729d.medres,BnF. Département des Manuscrits. Arabe 1356,25,127,2434,"āmil fī maʿrifat al-awāʾil wal-awāḫir.""><meta name=""DC.date"" content=""1501-1700""><meta name=""DC.rights"" content=""domaine public""><meta name=""DC.rights"" content=""public domain""><meta name=""DC.identifie",14,english,,neutral,"name=""dc.rights"";maʿrifat;al-awāʾil;wal-awāḫir.""><meta;name=""dc.date"";content=""1501-1700""><meta;content=""domaine;public""><meta;content=""public;domain""><meta",https://gallica.bnf.fr/iiif/ark:/12148/btv1b11000729d.medres/manifest.json,https://gallica.bnf.fr/ark:/12148/btv1b11000729d.medres/texteBrut
2,57bc68a9898e8cc6c930d479cafe703d7496cea7fa6d50295b560c7419ec5ac0,ark:/12148/cb437262742,Unknown,61,0,17209,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/cb437262742/manifest.json,https://gallica.bnf.fr/ark:/12148/cb437262742/texteBrut
3,edb4aae8cc966c69d7b85aabf838c6fa09a89e668a4e57377e03f8f81627f5e4,ark:/12148/btv1b10031371d.highres,BnF. Département des Manuscrits. Arabe 6269,22,98,34375,[No text available],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10031371d.highres/manifest.json,https://gallica.bnf.fr/ark:/12148/btv1b10031371d.highres/texteBrut
4,47b976f71f0762df086053a6c2788c73e09f19558588a467b627916e358330ff,ark:/12148/cb344712376,Unknown,87,0,41239,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/cb344712376/manifest.json,https://gallica.bnf.fr/ark:/12148/cb344712376/texteBrut
5,55e34c8cd1fb524c4e642b86c1c57d162d595fbf74c3df5be1fcad5cbf5d0fba,ark:/12148/bpt6k63019b,"BnF, département Philosophie, histoire, sciences de l'homme, 8-R-10999",42,209,41515,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k63019b/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k63019b/texteBrut
6,e8d09e14486a73faf5625621409c21409934907c3c889472388d48a9b9651809,ark:/12148/bpt6k63019b,"BnF, département Philosophie, histoire, sciences de l'homme, 8-R-10999",64,209,6626,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k63019b/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k63019b/texteBrut
7,888772f88bd45768ebfce471d935ce6a6d6793d1941ddbc4f9587c20d6a85bd9,ark:/12148/bpt6k63756541.lowres,"BnF, département Philosophie, histoire, sciences de l'homme, 8-LH4-1835",70,28,25300,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k63756541.lowres/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k63756541.lowres/texteBrut
8,45c9500441d229af504f28096a5592844ae941810d0be5f9b049c54acee95efb,ark:/12148/cb344712376,Unknown,72,0,20313,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/cb344712376/manifest.json,https://gallica.bnf.fr/ark:/12148/cb344712376/texteBrut
9,c71de44f4c64693c1f7abc5785f0c9eb7a9926f82f556f219267325f3401d824,ark:/12148/bpt6k63019b,"BnF, département Philosophie, histoire, sciences de l'homme, 8-R-10999",47,209,11617,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k63019b/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k63019b/texteBrut
10,cf8e2a9f117c43d7feeeb534b2aff103aebdbc27f32947617119545625324fe4,ark:/12148/btv1b100318128.lowres,BnF. Département des Manuscrits. Arabe 4907,67,136,40017,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100318128.lowres/manifest.json,https://gallica.bnf.fr/ark:/12148/btv1b100318128.lowres/texteBrut
11,24321707b2a3dc5991d5cedb7ae1d0b0e8891b117e009d4271a5792ebe4a5fcd,ark:/12148/bd6t52181511n.lowres,"BnF, département Philosophie, histoire, sciences de l'homme, 8-LC11-638",4,6,4482,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/bd6t52181511n.lowres/manifest.json,https://gallica.bnf.fr/ark:/12148/bd6t52181511n.lowres/texteBrut
12,9c7bb215182da1dc0b551119acd8c529578f01cfe2e3877525670be58b2699a1,ark:/12148/bpt6k210126w,BnF,49,67,24453,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k210126w/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k210126w/texteBrut
13,7443ecf02daa8b89c0cbc21d779770b97af67c9f411153a2feeeb8fbc3bb9e0b,ark:/12148/bd6t542071083.thumbnail,"BnF, département Manuscrits, CV-1121",5,80,28418,[OCR text unavailable],0,unknown,,neutral,,https://gallica.bnf.fr/iiif/ark:/12148/bd6t542071083.thumbnail/manifest.json,https://gallica.bnf.fr/ark:/12148/bd6t542071083.thumbnail/texteBrut
